floorPrice,name,type
522.32,江苏凤凰艺景文化发展有限公司16.666%股权（对应500万元出资额）转让公告,文化艺术业
878.46,晋城蓝焰煤业股份有限公司65万股股份（占总股本的0.09%）转让公告,其他采矿业
164.7281,徐州建苑印务有限公司39.6%股权（对应80万元认缴出资额，已实缴出资40万元）转让公告,印刷和记录媒介复制业
875.14,徐州中矿大贝克福尔科技股份有限公司2511224股股份(占总股本的12.5561%)转让公告,科技推广和应用服务业
761.62,徐州中矿大传动与自动化有限公司6.74%股权（对应134.86万元出资额）转让公告,专用设备制造业
0.0001,江苏城联物流有限公司6.5%股权（对应13万元出资额）转让公告（国资监测编号G32020JS1000023）,道路运输业
12.36,江苏快鹿赛格车圣导航科技有限公司20%股权（对应38万元出资额）转让公告（国资监测编号G32020JS1000022）,道路运输业
300.0,南京东晖光电有限公司53.85%股权（对应700万元出资额）第二次转让公告,研究和试验发展
0.78,徐州汉方物业有限公司33.33%股权（对应25万元出资额）转让公告,房地产业
0.468000,徐州汉方物业有限公司20%股权（对应15万元出资额）转让公告,房地产业
