,user,beReplied,commentId,content,status,time,likedCount,liked,expressionUrl,parentCommentId,repliedMark,pendantData,showFloorComment,decoration,commentLocationType,args,tag,source,extInfo
0,"{'avatarDetail': None, 'locationInfo': None, 'liveInfo': None, 'followed': False, 'vipRights': None, 'relationTag': None, 'anonym': 0, 'userId': 130939145, 'userType': 0, 'nickname': '梦不死i', 'avatarUrl': 'https://p1.music.126.net/TMNCHxCg671Ro1-YR-Up5w==/109951164972180183.jpg', 'authStatus': 0, 'expertTags': None, 'experts': None, 'vipType': 0, 'remarkName': None, 'isHug': False}",,3480487684,我承认你有几分姿色，但是如果我40岁，我一定离婚去娶你，如果我30岁，我一定分手去娶你，如果我20岁，我一定不顾一切的去追你，可我现在只有13岁，正面临7年级压力，还有一大堆作业要做,0,1602861043090,5841,False,,0,False,,"{'replyCount': 181, 'comments': None, 'showReplyCount': True, 'topCommentIds': None, 'target': None}",{'repliedByAuthorCount': 0},0,,"{'datas': None, 'relatedCommentIds': None}",,{}
1,"{'avatarDetail': None, 'locationInfo': None, 'liveInfo': None, 'followed': False, 'vipRights': {'associator': None, 'musicPackage': {'vipCode': 220, 'rights': True}, 'redVipAnnualCount': -1, 'redVipLevel': 0}, 'relationTag': None, 'anonym': 0, 'userId': 101044426, 'userType': 0, 'nickname': '兽医扁鹊', 'avatarUrl': 'https://p1.music.126.net/BWCWAZ5j8XghpCoUiikhrg==/109951163226099090.jpg', 'authStatus': 0, 'expertTags': None, 'experts': None, 'vipType': 10, 'remarkName': None, 'isHug': False}",,3480538457,阎其儿出了新歌竟然特意发私信给我，我都懒得回她[开心],0,1602862040831,3155,False,,0,False,,"{'replyCount': 84, 'comments': None, 'showReplyCount': True, 'topCommentIds': None, 'target': None}",{'repliedByAuthorCount': 1},0,,"{'datas': None, 'relatedCommentIds': None}",,{'authorRepliedIds': [3480547603]}
2,"{'avatarDetail': None, 'locationInfo': None, 'liveInfo': None, 'followed': False, 'vipRights': None, 'relationTag': None, 'anonym': 0, 'userId': 448950701, 'userType': 0, 'nickname': '谣小喃', 'avatarUrl': 'https://p1.music.126.net/QEtwcsCt0EvK7ypcr24LXw==/109951164928228550.jpg', 'authStatus': 0, 'expertTags': None, 'experts': None, 'vipType': 0, 'remarkName': None, 'isHug': False}",,3587376362,这首老歌怎么不标注一下cover呢，原唱徐小凤,0,1603503058324,2096,False,,0,False,,"{'replyCount': 127, 'comments': None, 'showReplyCount': True, 'topCommentIds': None, 'target': None}",{'repliedByAuthorCount': 0},0,,"{'datas': None, 'relatedCommentIds': None}",,{}
3,"{'avatarDetail': None, 'locationInfo': None, 'liveInfo': None, 'followed': False, 'vipRights': None, 'relationTag': None, 'anonym': 0, 'userId': 91369682, 'userType': 0, 'nickname': '劳资会魔法', 'avatarUrl': 'https://p1.music.126.net/P15bdpsyi4QW9yZCBAjfXg==/109951165155915449.jpg', 'authStatus': 0, 'expertTags': None, 'experts': None, 'vipType': 0, 'remarkName': None, 'isHug': False}","[{'user': {'avatarDetail': None, 'locationInfo': None, 'liveInfo': None, 'followed': False, 'vipRights': None, 'relationTag': None, 'anonym': 0, 'userId': 130939145, 'userType': 0, 'nickname': '梦不死i', 'avatarUrl': 'https://p1.music.126.net/TMNCHxCg671Ro1-YR-Up5w==/109951164972180183.jpg', 'authStatus': 0, 'expertTags': None, 'experts': None, 'vipType': 0, 'remarkName': None, 'isHug': False}, 'beRepliedCommentId': 3480487684, 'content': '我承认你有几分姿色，但是如果我40岁，我一定离婚去娶你，如果我30岁，我一定分手去娶你，如果我20岁，我一定不顾一切的去追你，可我现在只有13岁，正面临7年级压力，还有一大堆作业要做', 'status': 0, 'expressionUrl': None}]",3483726072,13岁的你刚好可以娶她，作业让她做,0,1603032667304,1969,False,,3480487684,False,,"{'replyCount': 0, 'comments': None, 'showReplyCount': False, 'topCommentIds': None, 'target': None}",{'repliedByAuthorCount': 0},0,,"{'datas': None, 'relatedCommentIds': None}",,{}
4,"{'avatarDetail': None, 'locationInfo': None, 'liveInfo': None, 'followed': False, 'vipRights': None, 'relationTag': None, 'anonym': 0, 'userId': 2076649713, 'userType': 0, 'nickname': '-懒得和你讲了-', 'avatarUrl': 'https://p1.music.126.net/wrOQGJ14tCgm5MYuvPTcjQ==/109951165384883932.jpg', 'authStatus': 0, 'expertTags': None, 'experts': None, 'vipType': 0, 'remarkName': None, 'isHug': False}",,3594565898,居然真的有男孩子愿意大晚上跑过来给我送吃的我真的很感动就是配送费贵了些,0,1604223637000,1287,False,,0,False,,"{'replyCount': 32, 'comments': None, 'showReplyCount': True, 'topCommentIds': None, 'target': None}",{'repliedByAuthorCount': 0},0,,"{'datas': None, 'relatedCommentIds': None}",,{}
5,"{'avatarDetail': None, 'locationInfo': None, 'liveInfo': None, 'followed': False, 'vipRights': {'associator': None, 'musicPackage': None, 'redVipAnnualCount': -1, 'redVipLevel': 0}, 'relationTag': None, 'anonym': 0, 'userId': 1491257527, 'userType': 0, 'nickname': 'Partcy', 'avatarUrl': 'https://p1.music.126.net/kFeqEIUDMd3I6pgvWusGHA==/109951165399584314.jpg', 'authStatus': 0, 'expertTags': None, 'experts': None, 'vipType': 0, 'remarkName': None, 'isHug': False}",,3587119003,"“暴躁的女孩子很好哄的”
“下次记得在她朝你发火前拉过她的手”
“用力吻她   分开前还要啵出声那种”
“这样她一定不好意思再生气了”
“因为‘吃你的嘴短’‘拉你的手软’”
“骂人的话没能出口，打人的手缩在袖口”
“她只好气呼呼地更加喜欢你啦”",0,1603462439501,981,False,,0,False,,"{'replyCount': 37, 'comments': None, 'showReplyCount': True, 'topCommentIds': None, 'target': None}",{'repliedByAuthorCount': 0},0,,"{'datas': None, 'relatedCommentIds': None}",,{}
6,"{'avatarDetail': None, 'locationInfo': None, 'liveInfo': None, 'followed': False, 'vipRights': None, 'relationTag': None, 'anonym': 0, 'userId': 250717465, 'userType': 0, 'nickname': '最帅果果', 'avatarUrl': 'https://p1.music.126.net/ixk3EcPXT9igoZCahOPVJA==/109951164133268716.jpg', 'authStatus': 0, 'expertTags': None, 'experts': None, 'vipType': 0, 'remarkName': None, 'isHug': False}","[{'user': {'avatarDetail': None, 'locationInfo': None, 'liveInfo': None, 'followed': False, 'vipRights': None, 'relationTag': None, 'anonym': 0, 'userId': 1493177396, 'userType': 0, 'nickname': '众星共之', 'avatarUrl': 'https://p1.music.126.net/Er2jMJ2Dh3TIH_ELELXGhA==/109951163364477363.jpg', 'authStatus': 0, 'expertTags': None, 'experts': None, 'vipType': 0, 'remarkName': None, 'isHug': False}, 'beRepliedCommentId': 3527137378, 'content': '仔细品了一下歌词，就是想当小三没当上呗', 'status': 2, 'expressionUrl': None}]",3575045010,别人暗恋，又没有去拆散什么，怎么就小三了,0,1603352132715,852,False,,3527137378,False,,"{'replyCount': 0, 'comments': None, 'showReplyCount': False, 'topCommentIds': None, 'target': None}",{'repliedByAuthorCount': 0},0,,"{'datas': None, 'relatedCommentIds': None}",,{}
7,"{'avatarDetail': None, 'locationInfo': None, 'liveInfo': None, 'followed': False, 'vipRights': None, 'relationTag': None, 'anonym': 0, 'userId': 1632361760, 'userType': 0, 'nickname': 'starthvv', 'avatarUrl': 'https://p1.music.126.net/OmQgYqm0SZVfH4RtGZ3E9Q==/109951163593806361.jpg', 'authStatus': 0, 'expertTags': None, 'experts': None, 'vipType': 0, 'remarkName': None, 'isHug': False}",,3597677956,听完这首歌，我竟然燃起了学习的欲望，还好我自控力强，把它压制下去了,0,1604592835756,677,False,,0,False,,"{'replyCount': 15, 'comments': None, 'showReplyCount': True, 'topCommentIds': None, 'target': None}",{'repliedByAuthorCount': 0},0,,"{'datas': None, 'relatedCommentIds': None}",,{}
8,"{'avatarDetail': None, 'locationInfo': None, 'liveInfo': None, 'followed': False, 'vipRights': {'associator': {'vipCode': 100, 'rights': True}, 'musicPackage': None, 'redVipAnnualCount': -1, 'redVipLevel': 0}, 'relationTag': None, 'anonym': 0, 'userId': 1430144650, 'userType': 0, 'nickname': '我这小马不识归途', 'avatarUrl': 'https://p1.music.126.net/DXNnvwnZRBOhZRVIvcjSSQ==/109951165223057664.jpg', 'authStatus': 0, 'expertTags': None, 'experts': None, 'vipType': 11, 'remarkName': None, 'isHug': False}",,3587397240,三观正的请做我朋友，五官正的请做我女朋友,0,1603502257691,664,False,,0,False,"{'id': 59204, 'imageUrl': 'http://p1.music.126.net/H1B1-ical_SgxDkvNcV4KA==/109951164881209398.jpg'}","{'replyCount': 16, 'comments': None, 'showReplyCount': True, 'topCommentIds': None, 'target': None}",{'repliedByAuthorCount': 0},0,,"{'datas': None, 'relatedCommentIds': None}",,{}
9,"{'avatarDetail': None, 'locationInfo': None, 'liveInfo': None, 'followed': False, 'vipRights': {'associator': {'vipCode': 100, 'rights': True}, 'musicPackage': None, 'redVipAnnualCount': 1, 'redVipLevel': 0}, 'relationTag': None, 'anonym': 0, 'userId': 303961870, 'userType': 0, 'nickname': '猫和老鼠诚不欺w', 'avatarUrl': 'https://p1.music.126.net/Gq096zAyPLF8Wl2pnFuF-g==/109951164628460327.jpg', 'authStatus': 0, 'expertTags': None, 'experts': None, 'vipType': 11, 'remarkName': None, 'isHug': False}","[{'user': {'avatarDetail': None, 'locationInfo': None, 'liveInfo': None, 'followed': False, 'vipRights': None, 'relationTag': None, 'anonym': 0, 'userId': 130939145, 'userType': 0, 'nickname': '梦不死i', 'avatarUrl': 'https://p1.music.126.net/TMNCHxCg671Ro1-YR-Up5w==/109951164972180183.jpg', 'authStatus': 0, 'expertTags': None, 'experts': None, 'vipType': 0, 'remarkName': None, 'isHug': False}, 'beRepliedCommentId': 3480487684, 'content': '我承认你有几分姿色，但是如果我40岁，我一定离婚去娶你，如果我30岁，我一定分手去娶你，如果我20岁，我一定不顾一切的去追你，可我现在只有13岁，正面临7年级压力，还有一大堆作业要做', 'status': 0, 'expressionUrl': None}]",3484067611,13岁了，不小了，也该有个家庭了,0,1603072192237,616,False,,3480487684,False,"{'id': 40002, 'imageUrl': 'http://p1.music.126.net/4-oGh5v9yPXvwM4MIOHULQ==/109951164819681780.jpg'}","{'replyCount': 0, 'comments': None, 'showReplyCount': False, 'topCommentIds': None, 'target': None}",{'repliedByAuthorCount': 0},0,,"{'datas': None, 'relatedCommentIds': None}",,{}
