,user,beReplied,commentId,content,status,time,likedCount,liked,expressionUrl,parentCommentId,repliedMark,pendantData,showFloorComment,decoration,commentLocationType,args,tag,source,extInfo
0,"{'avatarDetail': {'userType': 4, 'identityLevel': None, 'identityIconUrl': 'https://p6.music.126.net/obj/wo3DlcOGw6DClTvDisK1/4788939802/07d3/787e/7f78/274f1b45909330e24f6cc94659c565a9.png'}, 'locationInfo': None, 'liveInfo': None, 'followed': False, 'vipRights': {'associator': {'vipCode': 100, 'rights': True}, 'musicPackage': None, 'redVipAnnualCount': 1, 'redVipLevel': 0}, 'relationTag': None, 'anonym': 0, 'userId': 605956734, 'userType': 4, 'nickname': '星星子梦声', 'avatarUrl': 'https://p1.music.126.net/j2W3TrrIkZtfE4tF3koiuw==/109951165297306780.jpg', 'authStatus': 1, 'expertTags': None, 'experts': None, 'vipType': 11, 'remarkName': None, 'isHug': False}",,3601616940,如果当时2020（爱你爱你）[爱心][爱心],0,1605024856324,27841,False,,0,False,"{'id': 7010, 'imageUrl': 'http://p1.music.126.net/k1tBnnivYogVDZ-4LaJAqA==/109951163313146669.jpg'}","{'replyCount': 143, 'comments': None, 'showReplyCount': True, 'topCommentIds': None, 'target': None}",{'repliedByAuthorCount': 0},0,,"{'datas': None, 'relatedCommentIds': None}",,{}
1,"{'avatarDetail': None, 'locationInfo': None, 'liveInfo': None, 'followed': False, 'vipRights': {'associator': {'vipCode': 100, 'rights': True}, 'musicPackage': None, 'redVipAnnualCount': 1, 'redVipLevel': 0}, 'relationTag': None, 'anonym': 0, 'userId': 493139069, 'userType': 0, 'nickname': '偷藏快乐', 'avatarUrl': 'https://p1.music.126.net/Hha3dhQeYEfFTwOVRAFxow==/109951165182848748.jpg', 'authStatus': 0, 'expertTags': None, 'experts': None, 'vipType': 11, 'remarkName': None, 'isHug': False}",,3601547737,可能现在歌单里多了很多新的歌 但总是突然就想听许嵩了 偶尔街上听到他的歌都会很开心 可能这就是青春吧。,0,1605024427572,15998,False,,0,False,,"{'replyCount': 145, 'comments': None, 'showReplyCount': True, 'topCommentIds': None, 'target': None}",{'repliedByAuthorCount': 0},0,,"{'datas': None, 'relatedCommentIds': None}",,{}
2,"{'avatarDetail': None, 'locationInfo': None, 'liveInfo': None, 'followed': False, 'vipRights': {'associator': {'vipCode': 100, 'rights': True}, 'musicPackage': None, 'redVipAnnualCount': -1, 'redVipLevel': 0}, 'relationTag': None, 'anonym': 0, 'userId': 115916300, 'userType': 0, 'nickname': '生活_陌路人', 'avatarUrl': 'https://p1.music.126.net/tqKKW161M08AX-MGnzBGmw==/109951164172930759.jpg', 'authStatus': 0, 'expertTags': None, 'experts': None, 'vipType': 11, 'remarkName': None, 'isHug': False}",,3601608085,希望这首歌曲 能在这个寒冷的冬天 带给大家一种 温暖的感觉,0,1605025793441,9908,False,,0,False,,"{'replyCount': 131, 'comments': None, 'showReplyCount': True, 'topCommentIds': None, 'target': None}",{'repliedByAuthorCount': 0},0,,"{'datas': None, 'relatedCommentIds': None}",,{}
3,"{'avatarDetail': None, 'locationInfo': None, 'liveInfo': None, 'followed': False, 'vipRights': None, 'relationTag': None, 'anonym': 0, 'userId': 1480140154, 'userType': 0, 'nickname': '2018-6-7', 'avatarUrl': 'https://p1.music.126.net/g7HY7ALCJ8BPpvVi0-q2sA==/109951164435804491.jpg', 'authStatus': 0, 'expertTags': None, 'experts': None, 'vipType': 0, 'remarkName': None, 'isHug': False}",,3601509709,说起来已经过去好多年了  高一的时候听同学唱《断桥残雪》  听起来还不错的样子  后来又偶然间听到《山水之间》  感觉特别好听  后来就慢慢知道了许嵩   特别是苏格拉没有底  里面的歌都听了好多好多遍   喜欢许嵩后出的第一首新歌是《今年勇》  当然也是喜欢好一段时间后了  当时内心狂喜  化石复活的,0,1605024029208,6039,False,,0,False,,"{'replyCount': 117, 'comments': None, 'showReplyCount': True, 'topCommentIds': None, 'target': None}",{'repliedByAuthorCount': 0},0,,"{'datas': None, 'relatedCommentIds': None}",,{}
4,"{'avatarDetail': None, 'locationInfo': None, 'liveInfo': None, 'followed': False, 'vipRights': {'associator': {'vipCode': 100, 'rights': True}, 'musicPackage': None, 'redVipAnnualCount': -1, 'redVipLevel': 0}, 'relationTag': None, 'anonym': 0, 'userId': 395215263, 'userType': 0, 'nickname': '我亲爱的欧豆豆们呦', 'avatarUrl': 'https://p1.music.126.net/XQBLKXeE7rpPIsancx9SeQ==/109951163147155368.jpg', 'authStatus': 0, 'expertTags': None, 'experts': None, 'vipType': 11, 'remarkName': None, 'isHug': False}",,3601485724,一下回到09年,0,1605024031097,5338,False,,0,False,"{'id': 27000, 'imageUrl': 'http://p1.music.126.net/69ADY7MgreUf9Owg_drahQ==/109951164219713265.jpg'}","{'replyCount': 113, 'comments': None, 'showReplyCount': True, 'topCommentIds': None, 'target': None}",{'repliedByAuthorCount': 0},0,,"{'datas': None, 'relatedCommentIds': None}",,{}
5,"{'avatarDetail': None, 'locationInfo': None, 'liveInfo': None, 'followed': False, 'vipRights': None, 'relationTag': None, 'anonym': 0, 'userId': 1539854327, 'userType': 0, 'nickname': '泷谷南牧', 'avatarUrl': 'https://p1.music.126.net/CI5eLN46vzzUI1gC4aIriw==/109951165460108244.jpg', 'authStatus': 0, 'expertTags': None, 'experts': None, 'vipType': 0, 'remarkName': None, 'isHug': False}",,3601592173,"仔细听！《如果当时2020》最后一段有三段音轨，一段是现在嵩哥唱的，一段是黄梅戏女声唱的，还有一段是十一年前调皮的嵩哥单唱的那版！！
三段混音，时空穿梭，若古若今。我鸡皮疙瘩掉了一地啊，梦回2009！！！",0,1605025601383,3098,False,,0,False,,"{'replyCount': 71, 'comments': None, 'showReplyCount': True, 'topCommentIds': None, 'target': None}",{'repliedByAuthorCount': 0},0,,"{'datas': None, 'relatedCommentIds': None}",,{}
6,"{'avatarDetail': None, 'locationInfo': None, 'liveInfo': None, 'followed': False, 'vipRights': None, 'relationTag': None, 'anonym': 0, 'userId': 619411146, 'userType': 0, 'nickname': '苏格拉没有底XSxs', 'avatarUrl': 'https://p1.music.126.net/_CRo4HaWndweZ_QVplmzIg==/109951164783874892.jpg', 'authStatus': 0, 'expertTags': None, 'experts': None, 'vipType': 0, 'remarkName': None, 'isHug': False}",,3601720805,嵩哥把了liao改成了le，百度一下，，liao是完结的意思，代表一种惋惜，而le是动作完成，是一种淡然。,0,1605043570298,2324,False,,0,False,,"{'replyCount': 54, 'comments': None, 'showReplyCount': True, 'topCommentIds': None, 'target': None}",{'repliedByAuthorCount': 0},0,,"{'datas': None, 'relatedCommentIds': None}",,{}
7,"{'avatarDetail': None, 'locationInfo': None, 'liveInfo': None, 'followed': False, 'vipRights': {'associator': {'vipCode': 100, 'rights': True}, 'musicPackage': None, 'redVipAnnualCount': -1, 'redVipLevel': 0}, 'relationTag': None, 'anonym': 0, 'userId': 116289418, 'userType': 0, 'nickname': '巧克力蘑菇圈', 'avatarUrl': 'https://p1.music.126.net/4lwVTnjBhOKRLKukcVi1vg==/109951165459591396.jpg', 'authStatus': 0, 'expertTags': None, 'experts': None, 'vipType': 11, 'remarkName': None, 'isHug': False}",,3601524709,"11年前第一张专辑《自定义》里编号01的歌曲。
别人凌晨12点剁手，嵩鼠12点听老歌新唱！
与许嵩永远如初见~💙",0,1605024013613,2038,False,,0,False,,"{'replyCount': 16, 'comments': None, 'showReplyCount': True, 'topCommentIds': None, 'target': None}",{'repliedByAuthorCount': 0},0,,"{'datas': None, 'relatedCommentIds': None}",,{}
8,"{'avatarDetail': None, 'locationInfo': None, 'liveInfo': None, 'followed': False, 'vipRights': None, 'relationTag': None, 'anonym': 0, 'userId': 1589152058, 'userType': 0, 'nickname': '许嵩的圈外女友_YJ', 'avatarUrl': 'https://p1.music.126.net/_eYi-ED2oAaHBVTH-l-1Sw==/109951164612728632.jpg', 'authStatus': 0, 'expertTags': None, 'experts': None, 'vipType': 0, 'remarkName': None, 'isHug': False}",,3601598080,老歌可以新唱，旧人却不可重提,0,1605025342577,1572,False,,0,False,,"{'replyCount': 21, 'comments': None, 'showReplyCount': True, 'topCommentIds': None, 'target': None}",{'repliedByAuthorCount': 0},0,,"{'datas': None, 'relatedCommentIds': None}",,{}
9,"{'avatarDetail': None, 'locationInfo': None, 'liveInfo': None, 'followed': False, 'vipRights': None, 'relationTag': None, 'anonym': 0, 'userId': 416679293, 'userType': 0, 'nickname': 'thingsarelookingup', 'avatarUrl': 'https://p1.music.126.net/foK_-Qx-jDPoxF14UC2cXA==/109951164194912852.jpg', 'authStatus': 0, 'expertTags': None, 'experts': None, 'vipType': 0, 'remarkName': None, 'isHug': False}",,3601545694,安徽安庆人真的哭了[流泪]一开口浓浓的家乡味道！！！欢迎大家来安庆听黄梅戏呀！！！安徽不只有老许的老家合肥！！！还有很多好吃好玩好看的！！！大家要来！！！,0,1605024302126,1470,False,,0,False,,"{'replyCount': 112, 'comments': None, 'showReplyCount': True, 'topCommentIds': None, 'target': None}",{'repliedByAuthorCount': 0},0,,"{'datas': None, 'relatedCommentIds': None}",,{}
